ID,class
0,6
1,8
2,0
3,4
4,6
5,0
6,3
7,4
8,0
9,0
10,7
11,2
12,1
13,2
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,9
22,1
23,1
24,4
25,7
26,8
27,9
28,0
29,4
30,5
31,7
32,8
33,4
34,9
35,1
36,5
37,7
38,7
39,3
40,5
41,9
42,1
43,4
44,4
45,5
46,6
47,4
48,5
49,9
50,6
51,6
52,3
53,6
54,1
55,0
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,2
64,5
65,9
66,0
67,5
68,4
69,6
70,1
71,6
72,6
73,8
74,6
75,4
76,2
77,6
78,1
79,9
80,2
81,2
82,1
83,3
84,1
85,2
86,5
87,7
88,7
89,7
90,2
91,7
92,9
93,9
94,9
95,5
96,6
97,0
98,5
99,1
100,6
101,0
102,1
103,2
104,0
105,2
106,8
107,1
108,7
109,4
110,7
111,1
112,1
113,6
114,0
115,9
116,1
117,7
118,9
119,4
120,2
121,1
122,5
123,6
124,9
125,2
126,2
127,6
128,6
129,7
130,2
131,9
132,0
133,3
134,8
135,9
136,6
137,9
138,7
139,3
140,6
141,6
142,0
143,6
144,8
145,6
146,2
147,6
148,7
149,6
150,5
151,7
152,7
153,2
154,1
155,9
156,6
157,2
158,1
159,8
160,8
161,8
162,2
163,5
164,9
165,3
166,6
167,1
168,8
169,0
170,7
171,6
172,6
173,0
174,1
175,8
176,7
177,6
178,1
179,5
180,5
181,6
182,6
183,6
184,3
185,9
186,6
187,9
188,1
189,3
190,7
191,0
192,5
193,3
194,5
195,5
196,0
197,7
198,1
199,5
200,0
201,6
202,9
203,5
204,0
205,1
206,5
207,5
208,6
209,2
210,5
211,0
212,9
213,5
214,5
215,8
216,2
217,6
218,3
219,5
220,8
221,7
222,7
223,6
224,1
225,4
226,6
227,6
228,5
229,4
230,8
231,1
232,6
233,3
234,6
235,1
236,6
237,2
238,4
239,6
240,3
241,0
242,4
243,7
244,9
245,6
246,6
247,2
248,1
249,4
250,4
251,6
252,0
253,8
254,5
255,6
256,4
257,0
258,3
259,5
260,3
261,0
262,6
263,5
264,2
265,8
266,5
267,3
268,5
269,8
270,9
271,1
272,2
273,7
274,0
275,5
276,9
277,9
278,9
279,4
280,9
281,9
282,7
283,0
284,9
285,6
286,2
287,6
288,7
289,4
290,8
291,2
292,7
293,8
294,5
295,0
296,7
297,2
298,1
299,1
300,1
301,2
302,7
303,9
304,8
305,4
306,8
307,6
308,0
309,5
310,8
311,7
312,0
313,3
314,6
315,2
316,5
317,5
318,5
319,3
320,1
321,6
322,2
323,9
324,6
325,4
326,6
327,7
328,4
329,4
330,0
331,3
332,6
333,5
334,4
335,3
336,0
337,5
338,1
339,0
340,3
341,1
342,8
343,7
344,5
345,8
346,6
347,8
348,4
349,9
350,4
351,1
352,2
353,0
354,9
355,0
356,9
357,3
358,7
359,7
360,0
361,2
362,4
363,8
364,7
365,6
366,9
367,1
368,6
369,2
370,6
371,9
372,6
373,4
374,1
375,9
376,5
377,9
378,9
379,2
380,2
381,6
382,1
383,0
384,8
385,4
386,5
387,1
388,1
389,4
390,6
391,3
392,9
393,0
394,2
395,7
396,7
397,5
398,2
399,7
400,5
401,4
402,6
403,6
404,0
405,4
406,0
407,0
408,8
409,6
410,3
411,8
412,0
413,9
414,6
415,7
416,8
417,5
418,1
419,9
420,0
421,0
422,3
423,9
424,6
425,8
426,3
427,5
428,8
429,4
430,5
431,6
432,5
433,6
434,9
435,6
436,0
437,7
438,8
439,7
440,9
441,7
442,1
443,6
444,3
445,1
446,4
447,0
448,3
449,6
450,2
451,1
452,8
453,6
454,9
455,3
456,7
457,8
458,3
459,9
460,8
461,0
462,1
463,6
464,6
465,2
466,0
467,7
468,8
469,8
470,9
471,0
472,8
473,2
474,4
475,6
476,7
477,8
478,6
479,6
480,1
481,0
482,5
483,7
484,8
485,5
486,9
487,6
488,2
489,3
490,0
491,1
492,3
493,0
494,0
495,3
496,4
497,6
498,7
499,1
500,2
501,3
502,9
503,7
504,5
505,0
506,3
507,2
508,2
509,2
510,0
511,9
512,8
513,3
514,0
515,8
516,7
517,3
518,3
519,3
520,5
521,5
522,6
523,7
524,9
525,5
526,6
527,6
528,4
529,6
530,4
531,3
532,8
533,4
534,5
535,9
536,6
537,4
538,7
539,4
540,7
541,4
542,0
543,6
544,6
